name,description,discounted_price,original_price,total_reviews,average_ratings,plan_type
Depositphotos,Stock up on premium stock images before it's too late,$39.0,$500.0,420,4.95,lifetime
NeuronWriter,Use semantic recommendations to boost your SEO and plan high-ranking content,$69.0,$750.0,547,4.95,lifetime
BannerBoo,Build animated ads for marketing campaigns and social media in minutes—without coding,$49.0,$599.0,190,4.97,lifetime
"Yay Images - 12M+ Royalty-free Stock Photos, Vectors/Graphics & Videos","Unlimited downloads with over 12M stock photos, 2M vectors & 200K videos with flexible licensing",$59.0,$149.0,22,5,lifetime
ZeroWork Creator App,"Build automated, proprietary TaskBots and sell them in the ZeroWork marketplace",$79.0,$480.0,27,4.96,lifetime
Reoon Email Verifier,"The most accurate email validation service that cleans invalid, temporary & unsafe email addresses.",$79.0,$418.5,287,4.95,lifetime
SMS-iT Video Ads,Use interactive videos and SMS marketing to boost lead generation and ecommerce sales,$59.0,$600.0,24,5,lifetime
Switchy,Boost engagement and conversions with custom retargeting links,$39.0,$2400.0,211,4.94,lifetime
SiteGuru,Improve and monitor your website's rankings with an actionable SEO todo-list,$69.0,$599.0,379,4.97,lifetime
Salespanel,"Convert more B2B leads by adding GDPR-compliant, first-party data to your sales and marketing",$49.0,$480.0,32,4.97,lifetime
Eurekaa.io - Plus exclusive,"Ideate, validate, and create a course, book, or how-to content... in record time",$99.0,$399.0,48,5,lifetime
Acadle,Launch your white-labeled online academy with unlimited courses and content,$79.0,$468.0,267,4.95,lifetime
Marmof,"Create quality content in seconds with Marmof, the AI-powered content generation platform",$49.0,$228.0,21,4.95,lifetime
WP Reset Team Plan,"Reset, recover, and repair your WordPress site in no time",$49.0,$158.0,1302,4.93,lifetime
iCommunity Labs - Blockchain Platform,Blockchain technology without programming. Make your business more valuable and profitable,$79.0,$1198.0,20,5,lifetime
SQR QR Generator - Dynamic Short links and QR codes - Plus exclusive,SQR is a powerful QR code generator with custom domains and dynamic short links,$79.0,$348.0,89,4.96,lifetime
Eurekaa.io,"Ideate, validate, and create a course, book, or how-to content... in record time",$139.0,$399.0,48,5,lifetime
TYKR,TYKR helps you manage your own investments and beat the market so you can retire early,$119.0,$900.0,143,4.9,lifetime
Prefinery,Grow your customers with incentivized viral referral and rewards programs,$199.0,$1188.0,84,5,lifetime
SQR QR Generator - Dynamic Short links and QR codes,SQR is a powerful QR code generator with custom domains and dynamic short links,$79.0,$399.0,89,4.96,lifetime
